task,split,fixed,fixed_held_out,fixed_detail,state,state_held_out,state_detail
137eaa0f,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
137f0df0,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
13f06aa5,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
140c817e,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
14754a24,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1478ab18,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
14b8e18c,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
150deff5,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
15113be4,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
15660dd6,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
15663ba9,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
15696249,training,contradicted,,"no shared operator for (0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0)",contradicted,,no observations for background; no shared operator for foreground
17829a00,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
178fcbfb,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
17b80ad2,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
17b866bd,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
17cae0c1,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
18286ef8,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
182e5d0f,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
18419cfa,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
18447a8d,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
184a9768,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
195ba7dc,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
1990f7a8,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
19bb5feb,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
1a07d186,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1a244afd,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1a2e2828,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
1a6449f1,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
1acc24af,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1b2d62fb,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
1b59e163,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1b60fb0c,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1b8318e3,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1be83260,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
1bfc4729,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1c02dbbe,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1c0d0a4b,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1c56ad9f,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1c786137,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
1caeab9d,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1cf80156,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
1d0a4b61,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1d398264,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1d61978c,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1da012fc,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1e0a9b12,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1e32b0e9,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1e5d6875,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1e81d6f9,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1efba499,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1f0c79e5,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1f642eb9,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1f85a75f,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
1f876c06,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
1fad071e,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
2013d3e2,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
2037f2c7,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
2072aba6,training,contradicted,,"no shared operator for (0, 0), (0, 1), (1, 0), (1, 1)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
20818e16,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
20981f0e,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
20fb2937,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
212895b5,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
21f83797,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2204b7a8,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
22168020,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
22208ba4,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
22233c11,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
22425bda,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
22806e14,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2281f1f4,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
228f6490,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
22a4bbc2,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
22eb0ac0,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
230f2e48,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
234bbc79,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
23581191,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
239be575,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
23b5c85d,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
25094a63,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
252143c9,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
253bf280,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2546ccf6,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
256b0a75,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
25c199f5,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
25d487eb,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
25d8a9c8,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
25e02866,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
25ff71a9,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2601afb7,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
264363fd,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2685904e,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2697da3f,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
272f95fa,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2753e76c,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
278e5215,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
27a28665,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
27a77e38,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
27f8ce4f,training,contradicted,,"no shared operator for (0, 0), (0, 1), (1, 0), (1, 1), (1, 2), (2, 0), (2, 1), (2, 2)",contradicted,,no observations for background; no shared operator for foreground
281123b4,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
28bf18c6,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
28e73c20,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
292dd178,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
29623171,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
29700607,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
29c11459,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2a28add5,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2a5f8217,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2b01abd0,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2b9ef948,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2bcee788,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2bee17df,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2c0b0aff,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
2c608aff,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2c737e39,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2ccd9fef,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
2dc579da,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
2dd70a9a,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2de01db2,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2dee498d,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
2e65ae53,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2f0c5170,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
2f767503,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
2faf500b,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
305b1341,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
30f42897,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
310f3251,training,contradicted,,"no shared operator for (0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0), (2, 1), (2, 2)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
3194b014,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
319f2597,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
31aa019c,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
31adaf00,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
31d5ba1a,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
320afe60,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
321b1fc6,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
32597951,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
32e9702f,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
33067df9,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
332202d5,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
332efdb3,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
3345333e,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
337b420f,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
3391f8c0,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
33b52de3,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
3428a4f5,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
342ae2ed,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
342dd610,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
3490cc26,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
34b99a2b,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
34cfa167,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
351d6448,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
358ba94e,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
3618c87e,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
363442ee,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
36d67576,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
36fdfd69,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
37ce87bb,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
37d3e8b2,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
3906de3d,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
396d80d7,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
3979b1a8,training,contradicted,,"no shared operator for (0, 1), (1, 0), (1, 1); multiple operators remain for (0, 0): ['copy', 'flip_horizontal', 'flip_vertical', 'rotate_180', 'rotate_270', 'rotate_90']",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
39a8645d,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
39e1d7f9,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
3a301edc,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
3aa6fb7a,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
3ac3eb23,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
3ad05f52,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
3af2c5a8,training,determined,correct,,inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
3b4c2228,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
3bd292e8,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
3bd67248,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
3bdb4ada,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
3befdf3e,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
3c9b0459,training,determined,correct,,inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
3cd86f4f,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
3d31c5b3,training,inapplicable,,Output cannot be divided into input-shaped blocks.,inapplicable,,Output cannot be divided into input-shaped blocks.
3d588dc9,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
3d6c6e23,training,contradicted,,"no shared operator for (0, 0)",inapplicable,,State-derived layouts require the output block layout to have the same shape as the input grid.
