task_id,split,connectivity,regions_median,regions_max,mask_preserved,regions_uniform_out,mean_fraction_changed,change_components,aligned_components,aligned_fraction,colour_determines_output,size_determines_output,size_rank_determines_output,bbox_determines_output
1e81d6f9,training,4,24.0,28,False,False,0.019259259259259257,13,13,1.0,False,False,False,False
1efba499,training,4,10.0,11,False,False,0.09656084656084656,42,40,0.9523809523809523,False,False,False,False
1f0c79e5,training,4,1.0,1,False,True,0.2623456790123456,5,0,0.0,False,False,False,False
1f642eb9,training,4,6.0,7,True,False,0.04666666666666667,10,10,1.0,False,False,False,False
1f876c06,training,4,8.0,8,False,True,0.09333333333333334,28,28,1.0,False,False,False,False
20981f0e,training,4,15.0,18,False,False,0.09082406241848966,24,18,0.75,False,False,False,False
212895b5,training,4,24.0,28,False,False,0.11545092305928219,53,53,1.0,False,False,False,False
21f83797,training,4,2.0,2,False,True,0.39349112426035504,10,10,1.0,False,False,False,False
2204b7a8,training,4,7.0,8,True,True,0.04666666666666667,14,14,1.0,False,False,False,False
22168020,training,4,10.0,12,False,True,0.13999999999999999,5,5,1.0,False,False,False,False
22208ba4,training,4,1.0,1,True,False,0.20612572903492948,22,22,1.0,False,False,False,False
22233c11,training,4,2.0,4,False,True,0.04,8,8,1.0,False,False,False,False
22806e14,training,4,1.0,1,True,False,0.026041666666666668,12,12,1.0,False,False,False,False
2281f1f4,training,4,6.0,6,False,True,0.12666666666666668,24,24,1.0,False,False,False,False
228f6490,training,4,6.0,7,False,False,0.18666666666666668,12,12,1.0,False,False,False,False
22a4bbc2,training,4,1.0,3,True,False,0.24954573934837093,16,16,1.0,False,False,False,False
22eb0ac0,training,4,8.0,10,False,True,0.08,3,3,1.0,False,False,False,False
230f2e48,training,4,1.0,1,True,False,0.09120370370370372,11,11,1.0,False,False,False,False
23581191,training,4,2.0,2,False,True,0.37037037037037035,12,12,1.0,False,False,False,False
25094a63,training,4,1.0,1,True,False,0.1288888888888889,6,6,1.0,False,False,False,False
252143c9,training,4,2.5,4,False,False,0.3489627255861022,37,37,1.0,False,False,False,False
253bf280,training,4,2.5,5,False,True,0.06069786694786695,9,9,1.0,False,False,False,False
2546ccf6,training,4,3.5,6,False,False,0.022359821121431027,6,6,1.0,False,False,False,False
256b0a75,training,4,20.0,27,False,False,0.5334335114580862,3,0,0.0,False,False,False,False
25d487eb,training,4,1.0,1,False,False,0.0500925925925926,3,3,1.0,False,False,False,False
25d8a9c8,training,4,1.0,1,False,False,1.0,4,4,1.0,False,False,False,False
25ff71a9,training,4,1.0,1,False,False,0.5555555555555556,6,2,0.3333333333333333,False,False,False,False
2601afb7,training,4,1.0,1,True,False,0.2875327868112861,12,12,1.0,False,False,False,False
264363fd,training,4,1.0,1,True,False,0.08851851851851851,19,19,1.0,False,False,False,False
2685904e,training,4,3.0,3,False,False,0.08333333333333333,15,15,1.0,False,False,False,False
272f95fa,training,4,1.0,1,False,True,0.41896407685881365,10,10,1.0,False,False,False,False
27a77e38,training,4,1.0,1,False,False,0.057173091458805746,3,3,1.0,False,False,False,False
28e73c20,training,4,0.0,0,False,False,0.6060151216305062,5,5,1.0,False,False,False,False
292dd178,training,4,1.0,1,True,False,0.1202020202020202,5,5,1.0,False,False,False,False
29623171,training,4,6.0,7,False,False,0.1322314049586777,25,25,1.0,False,False,False,False
29700607,training,4,4.0,4,False,False,0.1863942454851546,3,3,1.0,False,False,False,False
29c11459,training,4,2.0,2,False,True,0.16363636363636364,2,2,1.0,False,False,False,False
2a28add5,training,4,1.0,1,False,False,0.4,12,11,0.9166666666666666,False,False,False,False
2a5f8217,training,4,6.0,8,True,True,0.13288610005781723,8,8,1.0,False,False,False,False
2b01abd0,training,4,2.0,3,False,False,0.12185345518678851,8,8,1.0,False,False,False,False
2b9ef948,training,4,2.0,2,False,False,0.9948148148148149,3,0,0.0,False,False,False,False
2bcee788,training,4,1.0,1,False,True,0.9575,4,0,0.0,False,False,False,False
2bee17df,training,4,1.0,1,False,False,0.3048148148148148,3,3,1.0,False,False,False,False
2c608aff,training,4,1.0,1,True,False,0.032374338624338625,7,7,1.0,False,False,False,False
2c737e39,training,4,2.0,2,False,False,0.06759259259259259,3,0,0.0,False,False,False,False
2dd70a9a,training,4,30.0,38,False,False,0.06259259259259259,3,3,1.0,False,False,False,False
2de01db2,training,4,4.0,15,False,False,1.0,3,0,0.0,False,False,False,False
2e65ae53,training,4,4.0,4,False,False,0.16012396694214875,24,24,1.0,False,False,False,False
2f767503,training,4,1.0,1,True,False,0.04952991452991453,6,6,1.0,False,False,False,False
2faf500b,training,4,3.0,4,False,False,0.2488425925925926,18,15,0.8333333333333334,False,False,False,False
305b1341,training,4,37.0,40,False,True,0.36999999999999994,7,7,1.0,False,False,False,False
30f42897,training,4,1.0,1,True,False,0.17777777777777778,10,10,1.0,False,False,False,False
319f2597,training,4,1.0,1,False,False,0.15583333333333335,14,14,1.0,False,False,False,False
31aa019c,training,4,12.0,13,False,False,0.26333333333333336,34,32,0.9411764705882353,False,False,False,False
31adaf00,training,4,16.0,17,False,True,0.24,13,13,1.0,False,False,False,False
320afe60,training,4,1.0,1,True,False,0.19694898403032376,20,20,1.0,False,False,False,False
321b1fc6,training,4,4.0,4,False,False,0.18,8,8,1.0,False,False,False,False
32597951,training,4,36.0,86,True,False,0.03575547866205306,17,17,1.0,False,False,False,False
32e9702f,training,4,2.0,3,False,False,0.8438681027966742,3,0,0.0,False,False,False,False
332202d5,training,4,1.0,1,False,False,1.0,3,2,0.6666666666666666,False,False,False,False
332efdb3,training,4,0.0,0,False,False,0.8195985554715713,3,3,1.0,False,False,False,False
3345333e,training,4,1.0,1,False,False,0.0546875,2,2,1.0,False,False,False,False
3391f8c0,training,4,6.5,10,False,False,0.20890770449593982,19,0,0.0,False,False,False,False
33b52de3,training,4,16.5,17,True,False,0.21928166351606804,31,31,1.0,False,False,False,False
342ae2ed,training,4,1.0,1,False,False,0.0546875,34,34,1.0,False,False,False,False
342dd610,training,4,1.0,1,True,False,0.035,12,12,1.0,False,False,False,False
3490cc26,training,4,8.5,12,False,True,0.08763507326007325,22,22,1.0,False,False,False,False
34cfa167,training,4,2.5,4,False,False,0.22994366744366745,4,4,1.0,False,False,False,False
3618c87e,training,4,1.0,1,False,False,0.13333333333333333,10,10,1.0,False,False,False,False
363442ee,training,4,6.0,6,False,False,0.3333333333333333,8,0,0.0,False,False,False,False
36d67576,training,4,3.0,3,False,False,0.047337278106508875,22,22,1.0,False,False,False,False
36fdfd69,training,4,24.0,24,True,False,0.051054310613134146,15,15,1.0,False,False,False,False
37ce87bb,training,4,1.0,1,True,False,0.06277056277056277,3,3,1.0,False,False,False,False
37d3e8b2,training,4,5.0,6,True,True,0.37370242214532867,15,15,1.0,False,False,False,False
3906de3d,training,4,3.0,4,False,False,0.12666666666666668,11,10,0.9090909090909091,False,False,False,False
396d80d7,training,4,1.0,1,True,False,0.052734375,25,25,1.0,False,False,False,False
39e1d7f9,training,4,1.0,1,False,False,0.09773662551440328,20,20,1.0,False,False,False,False
3a301edc,training,4,1.0,1,False,False,0.24610409198644492,5,5,1.0,False,False,False,False
3aa6fb7a,training,4,2.5,3,False,True,0.05102040816326531,5,5,1.0,False,False,False,False
3ac3eb23,training,4,1.5,2,False,True,0.22857142857142856,24,24,1.0,False,False,False,False
3ad05f52,training,4,2.0,3,False,False,0.2052523625799488,3,3,1.0,False,False,False,False
3bd292e8,training,4,1.0,1,True,False,0.6881377551020408,9,9,1.0,False,False,False,False
3bd67248,training,4,1.0,1,False,True,0.2712622826908541,22,22,1.0,False,False,False,False
3bdb4ada,training,4,2.0,2,False,False,0.06979166666666667,29,29,1.0,False,False,False,False
3befdf3e,training,4,1.0,1,False,False,0.38999999999999996,3,0,0.0,False,False,False,False
3c9b0459,training,4,1.0,1,True,False,0.6666666666666666,7,7,1.0,False,False,False,False
3d588dc9,training,4,1.0,1,False,False,0.021484375,4,4,1.0,False,False,False,False
3d6c6e23,training,4,4.0,6,False,True,0.07574370074370074,16,15,0.9375,False,False,False,False
3e980e27,training,4,3.5,5,False,False,0.05029585798816569,16,16,1.0,False,False,False,False
3eda0437,training,4,8.0,9,False,False,0.13159722222222223,4,4,1.0,False,False,False,False
3f23242b,training,4,1.5,2,False,True,0.219375,3,3,1.0,False,False,False,False
4093f84a,training,4,9.0,10,False,True,0.08333333333333333,38,30,0.7894736842105263,False,False,False,False
40f6cd08,training,4,3.0,3,True,False,0.09539094650205761,5,5,1.0,False,False,False,False
41ace6b5,training,4,1.0,1,True,False,0.3330169787046244,20,20,1.0,False,False,False,False
41e4d17e,training,4,1.0,1,True,False,0.1622222222222222,13,13,1.0,False,False,False,False
423a55dc,training,4,1.0,1,False,False,0.1338975310403882,14,10,0.7142857142857143,False,False,False,False
4258a5f9,training,4,3.5,4,False,True,0.345679012345679,6,6,1.0,False,False,False,False
42918530,training,4,10.0,13,False,True,0.030628595780950348,14,14,1.0,False,False,False,False
42a15761,training,4,4.0,4,False,False,0.06548019881353215,22,22,1.0,False,False,False,False
42a50994,training,4,24.0,28,False,True,0.055704914209171175,42,42,1.0,False,False,False,False
4347f46a,training,4,2.0,4,False,False,0.12094155844155845,7,7,1.0,False,False,False,False
4364c1c4,training,4,1.0,1,True,False,0.11485042735042734,22,22,1.0,False,False,False,False
444801d8,training,4,3.0,3,False,False,0.17333333333333334,11,11,1.0,False,False,False,False
447fd412,training,4,3.0,5,False,False,0.10515873015873016,4,4,1.0,False,False,False,False
44d8ac46,training,4,3.0,3,False,True,0.05208333333333333,6,6,1.0,False,False,False,False
456873bc,training,4,13.0,13,False,False,0.28141907618110085,19,19,1.0,False,False,False,False
45737921,training,4,3.0,4,True,False,0.21378859236002093,8,8,1.0,False,False,False,False
45bbe264,training,4,2.0,3,False,True,0.2907323617316749,18,18,1.0,False,False,False,False
4612dd53,training,4,8.0,10,False,True,0.0788356942203096,26,26,1.0,False,False,False,False
465b7d93,training,4,1.0,1,True,False,0.08333333333333333,6,6,1.0,False,False,False,False
46c35fc7,training,4,1.0,1,False,False,0.22448979591836735,8,5,0.625,False,False,False,False
470c91de,training,4,1.0,1,True,False,0.3225068870523416,11,11,1.0,False,False,False,False
484b58aa,training,4,1.0,1,False,False,0.09393579072532698,9,9,1.0,False,False,False,False
48634b99,training,4,1.0,1,True,False,0.022135416666666668,6,6,1.0,False,False,False,False
4938f0c2,training,4,3.0,9,False,True,0.07666666666666666,9,9,1.0,False,False,False,False
494ef9d7,training,4,9.0,16,False,False,0.10690476190476189,14,10,0.7142857142857143,False,False,False,False
496994bd,training,4,1.0,1,False,False,0.25,2,2,1.0,False,False,False,False
4a1cacc2,training,4,1.0,1,True,False,0.1357638888888889,4,4,1.0,False,False,False,False
4acc7107,training,4,4.0,4,False,False,0.365,17,12,0.7058823529411765,False,False,False,False
4b6b68e5,training,4,9.0,14,False,False,0.19877570911405495,12,7,0.5833333333333334,False,False,False,False
4c5c2cf0,training,4,8.0,8,False,False,0.12145691609977326,21,21,1.0,False,False,False,False
4cd1b7b2,training,4,2.0,2,False,False,0.3333333333333333,10,10,1.0,False,False,False,False
4df5b0ae,training,4,1.0,1,False,False,0.39999999999999997,10,10,1.0,False,False,False,False
4e45f183,training,4,9.0,9,True,False,0.12003693444136658,58,58,1.0,False,False,False,False
4e469f39,training,4,1.0,2,False,True,0.15666666666666665,4,4,1.0,False,False,False,False
4e7e0eb9,training,4,5.0,9,True,False,0.373807325330871,28,28,1.0,False,False,False,False
4f537728,training,4,49.0,49,True,True,0.11499999999999999,24,24,1.0,False,False,False,False
4ff4c9da,training,4,1.0,1,True,False,0.033679864324987936,20,20,1.0,False,False,False,False
5034a0b5,training,4,1.0,11,False,False,0.1812105522682446,25,19,0.76,False,False,False,False
50846271,training,4,20.5,44,True,False,0.02276847421584264,23,23,1.0,False,False,False,False
508bd3b6,training,4,4.0,4,False,True,0.06481481481481481,28,28,1.0,False,False,False,False
50a16a69,training,4,1.0,1,True,False,1.0,3,3,1.0,False,False,False,False
50c07299,training,4,1.0,1,True,False,0.01953125,15,15,1.0,False,False,False,False
50cb2852,training,4,3.0,3,True,False,0.11934731934731935,8,8,1.0,False,False,False,False
50f325b5,training,4,6.0,9,True,False,0.03449551537786832,11,11,1.0,False,False,False,False
5168d44c,training,4,5.0,5,False,False,0.141287284144427,6,6,1.0,False,False,False,False
516b51b7,training,4,2.0,3,True,False,0.19012099012099012,7,7,1.0,False,False,False,False
5207a7b5,training,4,1.0,1,False,True,0.3327149041434756,6,6,1.0,False,False,False,False
522fdd07,training,4,1.0,1,False,False,0.3359375,16,16,1.0,False,False,False,False
52364a65,training,4,1.0,1,False,False,0.13192531374349556,8,8,1.0,False,False,False,False
52df9849,training,4,1.0,1,True,False,0.017578125,2,2,1.0,False,False,False,False
52fd389e,training,4,2.0,2,False,False,0.28906666666666664,6,6,1.0,False,False,False,False
538b439f,training,4,1.0,1,True,False,0.15208333333333335,8,8,1.0,False,False,False,False
543a7ed5,training,4,1.0,1,True,False,0.3155555555555556,7,7,1.0,False,False,False,False
54d82841,training,4,1.0,2,False,False,0.04279761904761905,5,5,1.0,False,False,False,False
54d9e175,training,4,5.0,7,False,True,0.7889610389610391,15,0,0.0,False,False,False,False
54db823b,training,4,5.5,6,False,False,0.09,4,4,1.0,False,False,False,False
54dc2872,training,4,5.0,7,False,False,0.11538461538461539,5,2,0.4,False,False,False,False
55059096,training,4,4.0,4,False,True,0.02838064713064713,14,14,1.0,False,False,False,False
551d5bf1,training,4,5.0,5,False,True,0.1699107142857143,10,10,1.0,False,False,False,False
5521c0d9,training,4,3.0,3,False,True,0.2488888888888889,9,0,0.0,False,False,False,False
5582e5ca,training,4,1.0,1,False,True,0.6666666666666666,4,3,0.75,False,False,False,False
5623160b,training,4,1.0,1,True,False,0.16030864197530864,18,18,1.0,False,False,False,False
56dc2b01,training,4,2.0,2,False,True,0.30281862745098037,6,6,1.0,False,False,False,False
56ff96f3,training,4,3.0,4,False,True,0.25554112554112557,6,6,1.0,False,False,False,False
5751f35e,training,4,9.5,11,False,False,0.385,22,22,1.0,False,False,False,False
575b1a71,training,4,1.0,1,False,True,0.10333333333333333,19,19,1.0,False,False,False,False
5792cb4d,training,4,1.0,1,True,False,0.08,3,3,1.0,False,False,False,False
57aa92db,training,4,2.5,3,False,False,0.08057598039215685,12,12,1.0,False,False,False,False
58743b76,training,4,9.5,10,True,False,0.08319444444444445,17,17,1.0,False,False,False,False
58c02a16,training,4,1.0,2,False,False,0.42523830519862266,56,55,0.9821428571428571,False,False,False,False
58e15b12,training,4,4.0,4,False,True,0.15451793249949128,70,69,0.9857142857142858,False,False,False,False
5a5a2103,training,4,4.5,5,False,False,0.29025100344847077,54,47,0.8703703703703703,False,False,False,False
5a719d11,training,4,6.0,6,True,False,0.16723311546840958,21,21,1.0,False,False,False,False
5ad8a7c0,training,4,6.0,7,False,True,0.13333333333333333,5,5,1.0,False,False,False,False
5adee1b2,training,4,5.5,6,False,False,0.28875,4,4,1.0,False,False,False,False
5af49b42,training,4,6.0,7,False,False,0.07143326758711374,16,16,1.0,False,False,False,False
5b37cb25,training,4,1.0,1,True,False,0.027777777777777776,10,10,1.0,False,False,False,False
5b526a93,training,4,5.5,6,False,True,0.11771742189698846,10,10,1.0,False,False,False,False
5b692c0f,training,4,1.5,2,False,False,0.06466797245213875,17,13,0.7647058823529411,False,False,False,False
5c0a986e,training,4,2.0,2,False,True,0.07333333333333333,22,22,1.0,False,False,False,False
5c2c9af4,training,4,3.0,3,False,True,0.33081285444234404,17,17,1.0,False,False,False,False
5e6bbc0b,training,4,15.5,25,False,True,0.5812925170068027,36,28,0.7777777777777778,False,False,False,False
5ffb2104,training,4,5.0,5,False,False,0.37222222222222223,16,13,0.8125,False,False,False,False
60a26a3e,training,4,20.0,20,False,True,0.04374999999999999,9,9,1.0,False,False,False,False
60b61512,training,4,2.5,3,False,True,0.06790123456790123,7,7,1.0,False,False,False,False
60d73be6,training,4,1.0,1,False,False,0.16701790633608815,29,29,1.0,False,False,False,False
6150a2bd,training,4,1.0,1,False,False,0.8888888888888888,2,0,0.0,False,False,False,False
623ea044,training,4,1.0,1,False,True,0.12728647014361302,50,50,1.0,False,False,False,False
626c0bcc,training,4,1.0,2,True,False,0.31972789115646255,4,4,1.0,False,False,False,False
62ab2642,training,4,1.0,1,False,True,0.21277777777777776,6,6,1.0,False,False,False,False
62b74c02,training,4,1.0,1,False,False,0.7214285714285714,3,3,1.0,False,False,False,False
6350f1f4,training,4,3.5,6,False,False,0.3562809917355372,30,30,1.0,False,False,False,False
63613498,training,4,5.0,6,True,False,0.04,3,3,1.0,False,False,False,False
639f5a19,training,4,2.0,2,True,False,0.3780718336483932,4,4,1.0,False,False,False,False
642248e4,training,4,10.0,11,False,True,0.05518925518925519,23,23,1.0,False,False,False,False
6455b5f5,training,4,1.0,1,False,True,0.43258061383061386,11,11,1.0,False,False,False,False
64a7c07e,training,4,2.0,3,False,True,0.24074074074074073,6,0,0.0,False,False,False,False
66ac4c3b,training,4,1.0,1,True,False,0.07231404958677687,2,2,1.0,False,False,False,False
66e6c45b,training,4,1.0,1,False,True,0.5,10,10,1.0,False,False,False,False
67385a82,training,4,3.5,5,True,True,0.3083333333333333,6,6,1.0,False,True,True,True
673ef223,training,4,4.0,5,False,True,0.14412280701754385,10,5,0.5,False,False,False,False
67a3c6ac,training,4,1.0,1,True,False,0.7599206349206349,6,6,1.0,False,False,False,False
67a423a3,training,4,1.0,1,False,False,0.2824074074074074,3,0,0.0,False,False,False,False
67c52801,training,4,3.0,4,False,True,0.25510912698412697,13,10,0.7692307692307693,False,False,False,False
6855a6e4,training,4,4.0,4,False,True,0.06814814814814814,11,11,1.0,False,False,False,False
689c358e,training,4,1.0,1,False,False,0.06611570247933884,12,12,1.0,False,False,False,False
68b16354,training,4,1.0,1,True,False,0.7787755102040816,6,6,1.0,False,False,False,False
692cd3b6,training,4,2.0,2,False,False,0.32592592592592595,3,3,1.0,False,False,False,False
694f12f3,training,4,2.0,2,True,False,0.11499999999999999,4,4,1.0,False,False,False,False
696d4842,training,4,4.0,4,False,False,0.03481481481481482,12,12,1.0,False,False,False,False
69889d6e,training,4,1.5,3,False,True,0.155,4,4,1.0,False,False,False,False
6a1e5592,training,4,4.5,5,False,True,0.25333333333333335,14,14,1.0,False,False,False,False
6a980be1,training,4,1.0,1,False,False,0.41656920077972703,48,45,0.9375,False,False,False,False
6aa20dc0,training,4,1.0,1,True,False,0.07200197463355357,6,6,1.0,False,False,False,False
6ad5bdfd,training,4,7.0,7,False,False,0.36959595959595964,16,13,0.8125,False,False,False,False
6bcdb01e,training,4,1.0,1,True,False,0.3028571428571428,3,3,1.0,False,False,False,False
6c434453,training,4,5.0,5,False,False,0.18,4,0,0.0,False,False,False,False
6ca952ad,training,4,1.0,1,True,False,0.17582223167044594,14,14,1.0,False,False,False,False
6cdd2623,training,4,32.0,32,False,False,0.24921427354582434,55,51,0.9272727272727272,False,False,False,False
6cf79266,training,4,29.0,30,False,True,0.03,4,4,1.0,False,False,False,False
6d0160f0,training,4,8.0,9,False,False,0.23553719008264462,82,78,0.9512195121951219,False,False,False,False
6d58a25d,training,4,14.0,23,False,True,0.05833333333333333,9,9,1.0,False,False,False,False
6d75e8bb,training,4,1.0,1,False,True,0.1318783068783069,6,6,1.0,False,False,False,False
6df30ad6,training,4,12.0,15,False,True,0.172,54,54,1.0,False,False,False,False
6e02f1e3,training,4,1.0,1,False,False,1.0,5,5,1.0,False,False,False,False
6e19193c,training,4,2.0,2,False,True,0.07,14,14,1.0,False,False,False,False
6e82a1ae,training,4,5.0,6,True,True,0.15,15,15,1.0,False,True,True,True
6ea4a07e,training,4,2.0,3,False,True,1.0,6,0,0.0,False,False,False,False
6f8cd79b,training,4,0.0,0,False,False,0.7555555555555555,4,4,1.0,False,False,False,False
6ffe8f07,training,4,8.5,11,False,False,0.31432748538011696,16,6,0.375,False,False,False,False
705a3229,training,4,2.0,3,False,True,0.08823953823953823,16,16,1.0,False,False,False,False
712bf12e,training,4,22.0,23,False,False,0.2065934065934066,9,9,1.0,False,False,False,False
72207abc,training,4,1.0,2,False,False,0.06392417826174632,13,13,1.0,False,False,False,False
72322fa7,training,4,6.0,13,False,False,0.032100939995676835,23,23,1.0,False,False,False,False
72a961c9,training,4,1.0,1,False,False,0.07250033916700582,7,7,1.0,False,False,False,False
73c3b0d8,training,4,2.5,5,False,False,0.15240575396825395,15,6,0.4,False,False,False,False
7447852a,training,4,15.0,18,False,True,0.2333333333333333,9,9,1.0,False,False,False,False
74dd1130,training,4,1.0,1,True,False,0.5,10,10,1.0,False,False,False,False
753ea09b,training,4,1.0,1,True,False,0.19666666666666666,27,27,1.0,False,False,False,False
758abdf0,training,4,1.0,1,False,False,0.07421875,13,13,1.0,False,False,False,False
759f3fd3,training,4,1.0,1,False,True,0.435,33,33,1.0,False,False,False,False
760b3cac,training,4,3.0,3,False,False,0.09876543209876543,6,6,1.0,False,False,False,False
762cd429,training,4,1.0,1,False,False,0.6142857142857142,3,3,1.0,False,False,False,False
770cc55f,training,4,3.0,3,False,True,0.14903846153846154,4,4,1.0,False,False,False,False
